CaseID,Phantom,ScannerModel,kVp,mA,Pitch,Views,ScanCoverage,ReconKernel,SliceThickness,SliceIncrement,FOV,GlobalSeed,CaseSeed,OutputDirectory,RemoveRawData,Age,LesionAttenuation,Subtype,LesionVolume,Edema,MassEffect,AddAugmentation
case_0000,9.0 yr NIHPD Head,Scanner_Default,120.0,200.0,0.5,100.0,"[0, 10]",standard,1,1,250,562727,416037,/home/brandon.nelson/Dev/PedSilicoICH/results/case_0000,True,9.0,52.15430017330228,SDH,18.66797169192197,0,True,True
case_0001,15.75 yr NIHPD Head,GE_Lightspeed16,120.0,200.0,0.5,100.0,"[0, 10]",standard,1,1,250,562727,528082,/home/brandon.nelson/Dev/PedSilicoICH/results/case_0001,True,15.75,52.389747570323365,EDH,15.721037214668655,0,True,True
case_0002,38.0 yr MIDA Head,Scanner_Default,120.0,200.0,0.5,100.0,"[0, 10]",standard,1,1,250,562727,413318,/home/brandon.nelson/Dev/PedSilicoICH/results/case_0002,True,38.0,57.727356835355536,EDH,17.823112415473304,0,True,True
