Patient Characteristics,Lesion Characteristics,Acquisition Characteristics,Misc./Output Data
Identifier,Intensity [HU],X-ray tube current [mA],Seed to reproduce
Age (atlas-based),Hematoma volume [mL] and slice coverage,X-ray tube peak voltage [kVp],Image file location
,Hemorrhage type,CT acquisition view count [views],Mask file directory location
,Mass effect strength (currently IPH/round only),Reconstructed field of view (FoV) [mm],Hemorrhage slice number(s)
,Edema [voxels] (IPH/round only),Reconstruction kernel,
